acqf,trial,iteration,best_f,c_x,sum_c_x,cum_costs,eta
EI,4,1,-16.70320947070198,"{'0': 169.22629343852114, '1': 72.01305073159935, '2': 65.29996135423863}",306.5393055243591,2922.2786228507043,0.95
EI,2,1,-11.336815810253633,"{'0': 116.58238326954765, '1': 58.03728851419137, '2': 78.59569149990426}",253.21536328364328,2444.4645192333896,0.95
EI,1,1,-10.353200185915387,"{'0': 173.48026756457142, '1': 94.57982461633678, '2': 71.14921902161433}",339.20931120252254,3246.767444204969,0.95
EI,3,1,-14.561214970693523,"{'0': 177.74403956539743, '1': 75.9560424562637, '2': 87.61852187559225}",341.3186038972534,3009.152721033995,0.95
EI,5,1,-8.561445463420807,"{'0': 175.63907084244232, '1': 56.567738035142284, '2': 59.42820496483775}",291.6350138424223,2696.6430268247536,0.95
EI,4,2,-16.70320947070198,"{'0': 77.15904604226066, '1': 74.52736811762122, '2': 54.9467879493869}",206.63320210926878,3128.9118249599733,0.9025
EI,2,2,-11.336815810253633,"{'0': 66.61389335903337, '1': 73.89202959566629, '2': 85.01756164258016}",225.52348459727983,2669.9880038306696,0.9025
EI,1,2,-10.353200185915387,"{'0': 168.75589417584843, '1': 57.44397990381861, '2': 45.95165603436385}",272.1515301140309,3518.9189743189995,0.9025
EI,3,2,-10.000920421395314,"{'0': 168.3919273262317, '1': 87.2995034326283, '2': 85.80465297528038}",341.49608373414037,3350.6488047681355,0.9025
EIPU-MEMO,1,1,-7.314862956284712,"{'0': 80.6421279978359, '1': 49.89639741942532, '2': 35.50346512396363}",166.04199054122483,3073.600123543671,0.95
EIPU,1,1,-7.314862956284712,"{'0': 80.6421279978359, '1': 49.89639741942532, '2': 35.50346512396363}",166.04199054122483,3073.600123543671,0.95
EI,4,3,-14.644806251043413,"{'0': 70.23486203806215, '1': 88.31120304785298, '2': 48.5693188153398}",207.11538390125492,3336.0272088612282,0.8573749999999999
EI,5,2,-5.739737113551466,"{'0': 174.93628699008235, '1': 62.438433561563826, '2': 57.935356915659526}",295.31007746730575,2991.9531042920594,0.9025
EI,2,3,-7.877340725774367,"{'0': 76.87571504244386, '1': 56.66069256941937, '2': 89.97178079011533}",223.50818840197857,2893.4961922326484,0.8573749999999999
EI,3,3,-10.000920421395314,"{'0': 129.0896766120617, '1': 83.2616030520914, '2': 88.43847681483322}",300.7897564789863,3651.438561247122,0.8573749999999999
EI,1,3,-10.353200185915387,"{'0': 138.5553590692336, '1': 95.57767452640093, '2': 70.96242509915128}",305.0954586947858,3824.0144330137855,0.8573749999999999
EIPU-MEMO,2,1,-16.342260118920947,"{'0': 66.60707062939129, '1': 52.86868040459528, '2': 55.44987256326061}",174.92562359724718,2366.1747795469932,0.95
EIPU-MEMO,4,1,-13.562559238619114,"{'0': 57.83901725128756, '1': 83.17512660452606, '2': 44.1936340158593}",185.20777787167293,2800.9470951980184,0.95
EIPU,2,1,-16.342260118920947,"{'0': 66.60707062939129, '1': 52.86868040459528, '2': 55.44987256326061}",174.92562359724718,2366.1747795469932,0.95
EIPU,4,1,-13.562559238619114,"{'0': 57.83901725128756, '1': 83.17512660452606, '2': 44.1936340158593}",185.20777787167293,2800.9470951980184,0.95
EIPU,3,1,-14.561214970693523,"{'0': 177.0461365653242, '1': 72.90985271297149, '2': 87.40300663000104}",337.3589959082967,3005.1931130450384,0.95
EEIPU,2,1,-15.9327122651654,"{'0': 60.31863547876208, '1': 62.87296140543593, '2': 82.38183168072521}",205.57342856492323,2396.8225845146694,0.95
EEIPU,4,1,-16.06029971736065,"{'0': 60.8628720560036, '1': 87.49654847291055, '2': 47.854644768209326}",196.21406529712345,2811.9533826234688,0.95
EIPU-MEMO,3,1,-14.561214970693523,"{'0': 177.0461365653242, '1': 72.90985271297149, '2': 87.40300663000104}",337.3589959082967,3005.1931130450384,0.95
EI,4,4,-14.644806251043413,"{'0': 104.21473234164063, '1': 89.80411926289116, '2': 46.222729245056776}",240.24158084958856,3576.2687897108167,0.8145062499999999
EI,1,4,-10.353200185915387,"{'0': 117.52402351461191, '1': 90.66137329385282, '2': 68.2370104507338}",276.4224072591985,4100.436840272984,0.8145062499999999
EEIPU,3,1,-14.561214970693523,"{'0': 171.2128423993091, '1': 74.30527998617075, '2': 87.36174917331284}",332.8798715587927,3000.713988695534,0.95
EI,3,4,-10.000920421395314,"{'0': 170.9689762936581, '1': 87.33716713215495, '2': 72.87543570495323}",331.1815791307663,3982.620140377888,0.8145062499999999
EI,5,3,-4.427180183231798,"{'0': 176.36943567523772, '1': 69.59675641570875, '2': 53.79495359141114}",299.7611456823576,3291.714249974417,0.8573749999999999
EI,2,4,-5.340873452788291,"{'0': 67.34789497800267, '1': 68.12472855588982, '2': 88.8939562770455}",224.366579810938,3117.862772043586,0.8145062499999999
EEIPU,1,1,-10.353200185915387,"{'0': 166.46590628543075, '1': 55.99863831066769, '2': 44.19704098409146}",266.6615855801899,3174.2197185826362,0.95
EI,4,5,-14.644806251043413,"{'0': 70.13608318030144, '1': 81.7040783304835, '2': 51.2098153873347}",203.0499768981196,3779.318766608936,0.7737809374999999
EI,1,5,-10.353200185915387,"{'0': 166.77229708137077, '1': 93.44545771000539, '2': 73.73102796456118}",333.9487827559373,4434.385623028921,0.7737809374999999
EI,3,5,-10.000920421395314,"{'0': 173.44436217097808, '1': 87.01234865894934, '2': 89.7477361643982}",350.2044469943256,4332.8245873722135,0.7737809374999999
EIPU,2,2,-13.120845450244245,"{'0': 61.32777603102897, '1': 58.159709877392615, '2': 82.14759761734169}",201.63508352576326,2567.8098630727563,0.9025
EIPU,4,2,-13.562559238619114,"{'0': 65.28852374785099, '1': 76.11137244255414, '2': 48.694238587699324}",190.09413477810443,2991.041229976123,0.9025
EI,2,5,-5.340873452788291,"{'0': 72.8519133260076, '1': 70.26833884287754, '2': 88.7441971280987}",231.86444929698385,3349.72722134057,0.7737809374999999
EI,5,4,-4.427180183231798,"{'0': 173.97279320070822, '1': 70.12199544302638, '2': 56.228834834653625}",300.32362347838824,3592.037873452805,0.8145062499999999
EI,1,6,-10.353200185915387,"{'0': 124.90627578637796, '1': 96.81003230164427, '2': 71.02579711426942}",292.74210520229167,4727.127728231213,0.7350918906249998
EI,4,6,-14.644806251043413,"{'0': 62.3078879780396, '1': 78.57979199050462, '2': 55.13963168296505}",196.02731165150925,3975.346078260445,0.7350918906249998
EI,2,6,-5.340873452788291,"{'0': 52.80662079492269, '1': 55.20560513819311, '2': 88.71708549970651}",196.7293114328223,3546.456532773392,0.7350918906249998
EI,3,6,-9.010418874816608,"{'0': 147.7358237247294, '1': 70.09997774316716, '2': 88.71397031975832}",306.5497717876549,4639.374359159869,0.7350918906249998
EIPU,3,2,-12.186991963524468,"{'0': 103.19638370414313, '1': 79.44295804896561, '2': 88.17304292619875}",270.81238467930746,3276.005497724346,0.9025
EI,4,7,-14.644806251043413,"{'0': 81.11892566058403, '1': 89.86046502561709, '2': 55.69540027261464}",226.67479095881575,4202.020869219261,0.6983372960937497
EI,1,7,-10.353200185915387,"{'0': 118.6502945847988, '1': 93.90632396197664, '2': 74.96185422203875}",287.5184727688142,5014.646201000027,0.6983372960937497
EI,5,5,-4.427180183231798,"{'0': 172.94002276556088, '1': 67.08480212313232, '2': 54.752802942653176}",294.7776278313464,3886.815501284151,0.7737809374999999
EEIPU,5,1,-8.243268086498418,"{'0': 174.91354473660544, '1': 56.2117300225972, '2': 58.685641741019666}",289.81091650022233,2694.818929482554,0.95
EI,3,7,-8.380400380597864,"{'0': 146.74263565885116, '1': 84.3050345964634, '2': 88.94822203745835}",319.9958922927729,4959.370251452641,0.6983372960937497
EI,2,7,-5.340873452788291,"{'0': 104.21373042863692, '1': 60.06206052447442, '2': 88.91986592603595}",253.1956568791473,3799.6521896525396,0.6983372960937497
EIPU,1,2,-7.314862956284712,"{'0': 93.85756360048212, '1': 54.822855175872576, '2': 40.49557686960028}",189.175995645955,3262.776119189626,0.9025
EI,1,8,-10.118153790269947,"{'0': 139.51619637767044, '1': 93.61368846488412, '2': 72.08658670207944}",305.21647154463403,5319.862672544661,0.6634204312890623
EI,4,8,-9.164671235344844,"{'0': 137.13712880561312, '1': 86.99578877085133, '2': 59.4113075894764}",283.5442251659409,4485.5650943852015,0.6634204312890623
EEIPU,4,2,-16.06029971736065,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 47.55585833916968}",47.755858342149914,2859.709240965619,0.9025
EI,3,8,-8.380400380597864,"{'0': 156.80878757829342, '1': 77.79306149628525, '2': 86.52851586333244}",321.1303649379111,5280.500616390553,0.6634204312890623
EIPU-MEMO,2,2,-16.342260118920947,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 37.29259182371551}",37.492591826695744,2403.667371373689,0.9025
EI,4,9,-9.164671235344844,"{'0': 164.43097269562276, '1': 83.3632361875396, '2': 56.3563583584712}",304.15056724163355,4789.715661626835,0.6302494097246091
EI,5,6,-4.427180183231798,"{'0': 172.13704644485625, '1': 69.13786927975065, '2': 61.44082271190775}",302.71573843651464,4189.531239720666,0.7350918906249998
EI,2,8,-2.259949583779239,"{'0': 104.51952952309469, '1': 72.73459586084424, '2': 89.24759836965328}",266.50172375359216,4066.153913406132,0.6634204312890623
EI,1,9,-10.118153790269947,"{'0': 143.47296405862753, '1': 94.52937205121455, '2': 71.6972837517684}",309.6996198616105,5629.562292406272,0.6302494097246091
EIPU,2,3,-9.21809747530266,"{'0': 77.3817756681002, '1': 53.831202005143766, '2': 74.14034261334844}",205.3533202865924,2773.1631833593487,0.8573749999999999
EI,3,9,-3.1291805649335958,"{'0': 100.08958000322973, '1': 86.7386932036807, '2': 88.03184992448456}",274.86012313139497,5555.360739521948,0.6302494097246091
EEIPU,3,2,-14.561214970693523,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 61.73016522009375}",61.930165223073985,3062.644153918608,0.9025
EEIPU,2,2,-15.9327122651654,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 49.89400778200689}",50.09400778498712,2446.9165922996567,0.9025
EI,2,9,-2.259949583779239,"{'0': 105.95659275559781, '1': 57.77086281272421, '2': 89.36385179870987}",253.0913073670319,4319.245220773164,0.6302494097246091
EI,1,10,-10.118153790269947,"{'0': 172.70582381537747, '1': 73.59022351886594, '2': 72.7219032747194}",319.0179506089628,5948.580243015234,0.5987369392383786
EI,4,10,-9.164671235344844,"{'0': 118.90669558335183, '1': 78.11527062672937, '2': 59.16689179566983}",256.188858005751,5045.904519632586,0.5987369392383786
EIPU,4,3,-13.562559238619114,"{'0': 63.520771412231575, '1': 91.80265380701961, '2': 47.33415848632393}",202.65758370557512,3193.698813681698,0.8573749999999999
EEIPU,1,2,-10.353200185915387,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 36.063816262869686}",36.26381626584992,3210.483534848486,0.9025
EIPU,5,1,-8.365600070976727,"{'0': 175.19914425941636, '1': 54.574839787407385, '2': 58.430304972415286}",288.204289019239,2693.2123020015706,0.95
EI,5,7,-4.427180183231798,"{'0': 178.78455983311315, '1': 68.5827654068723, '2': 63.21454018158732}",310.5818654215728,4500.113105142239,0.6983372960937497
EI,2,10,-2.259949583779239,"{'0': 157.06287015462516, '1': 55.68939798532604, '2': 89.39068118155586}",302.14294932150705,4621.388170094671,0.5987369392383786
EIPU,3,3,-12.186991963524468,"{'0': 94.79671324282711, '1': 70.7428092432954, '2': 89.01388487655154}",254.55340736267405,3530.55890508702,0.8573749999999999
EI,1,11,-10.118153790269947,"{'0': 171.1394824830524, '1': 90.93387210288915, '2': 86.01985127058171}",348.09320585652324,6296.6734488717575,0.5688000922764596
EI,3,10,-3.1291805649335958,"{'0': 69.73963936045872, '1': 86.76819925466074, '2': 74.86209998162921}",231.36993859674868,5786.730678118696,0.5987369392383786
EIPU-MEMO,5,1,-8.365600070976727,"{'0': 175.19914425941636, '1': 54.574839787407385, '2': 58.430304972415286}",288.204289019239,2693.2123020015706,0.95
EI,4,11,-9.164671235344844,"{'0': 101.16713459652418, '1': 90.49477417809263, '2': 67.90580329257392}",259.5677120671907,5305.472231699777,0.5688000922764596
EIPU-MEMO,4,2,-13.562559238619114,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 42.95508537860224}",43.155085381582474,2844.102180579601,0.9025
EIPU-MEMO,3,2,-14.561214970693523,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 61.58773659582621}",61.78773659880644,3066.980849643845,0.9025
EI,2,11,-2.259949583779239,"{'0': 144.83612237997968, '1': 73.77000662829388, '2': 73.41832388351173}",292.0244528917853,4913.412622986457,0.5688000922764596
EI,1,12,-10.118153790269947,"{'0': 171.72445944454273, '1': 93.91881509367806, '2': 74.80690540785167}",340.45017994607247,6637.12362881783,0.5403600876626365
EI,4,12,-9.164671235344844,"{'0': 106.31797592342608, '1': 82.3535333804964, '2': 64.66493322596692}",253.33644252988938,5558.808674229666,0.5403600876626365
EI,3,11,-3.1291805649335958,"{'0': 64.66875740078098, '1': 90.71747923036972, '2': 85.19838463683668}",240.58462126798736,6027.315299386683,0.5688000922764596
EI,5,8,-4.427180183231798,"{'0': 174.6116420255787, '1': 67.28916869991328, '2': 54.00259754699748}",295.90340827248946,4796.016513414728,0.6634204312890623
EIPU,1,3,-6.247098580212572,"{'0': 80.63946368956839, '1': 55.09872840729385, '2': 36.37376077051001}",172.11195286737225,3434.888072056998,0.8573749999999999
EI,4,13,-6.769178278523162,"{'0': 154.01860845103124, '1': 83.42872960250682, '2': 53.810652594881695}",291.25799064841976,5850.066664878086,0.5133420832795047
EI,3,12,-3.1291805649335958,"{'0': 62.169478593865634, '1': 89.13648385100348, '2': 75.76830643664641}",227.07426888151554,6254.389568268199,0.5403600876626365
EIPU-MEMO,1,2,-4.690169155671065,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 35.43682180274547}",35.6368218057257,3109.2369453493966,0.9025
EI,2,12,-1.784226062425315,"{'0': 151.19178167756087, '1': 84.06167748807691, '2': 89.72708560838794}",324.9805447740257,5238.393167760482,0.5403600876626365
EI,1,13,-10.118153790269947,"{'0': 171.41045422009682, '1': 96.20866191158382, '2': 86.331058475529}",353.95017460720965,6991.073803425039,0.5133420832795047
EIPU,4,4,-7.969947395557952,"{'0': 63.664340402589644, '1': 82.35842114428422, '2': 59.13570324947803}",205.1584647963519,3398.85727847805,0.8145062499999999
EI,5,9,-4.427180183231798,"{'0': 173.53389029654977, '1': 73.12903105746784, '2': 58.07754670098559}",304.7404680550032,5100.756981469732,0.6302494097246091
EI,3,13,-3.1291805649335958,"{'0': 87.38052884895227, '1': 89.81598887494758, '2': 76.00998717250049}",253.2065048964003,6507.596073164599,0.5133420832795047
EI,4,14,-6.769178278523162,"{'0': 154.85978650740535, '1': 82.63080781744716, '2': 51.390888443150054}",288.88148276800257,6138.948147646089,0.48767497911552943
EI,2,13,-0.8405218284566285,"{'0': 104.39064980258297, '1': 68.16013614723039, '2': 88.54413541848255}",261.0949213682959,5499.4880891287785,0.5133420832795047
EI,1,14,-10.118153790269947,"{'0': 172.80425577917916, '1': 76.12344657478928, '2': 83.63508488193838}",332.56278723590685,7323.636590660946,0.48767497911552943
EEIPU,4,3,-16.06029971736065,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 54.735992545521924}",54.935992548502156,2914.645233514121,0.8573749999999999
EIPU,2,4,-9.21809747530266,"{'0': 77.24404753598046, '1': 68.41332619905862, '2': 70.24195503410398}",215.89932876914304,2989.062512128492,0.8145062499999999
EI,3,14,-3.1291805649335958,"{'0': 88.1571667502489, '1': 91.36051529919351, '2': 70.66352788203241}",250.18120993147483,6757.777283096074,0.48767497911552943
EI,5,10,-4.427180183231798,"{'0': 171.35032711393723, '1': 64.3695600129789, '2': 52.045032674931534}",287.76491980184767,5388.52190127158,0.5987369392383786
EIPU,5,2,-6.311405897967527,"{'0': 174.81571733473288, '1': 61.8220204765388, '2': 57.917463543676426}",294.5552013549481,2987.767503356519,0.9025
EIPU,1,4,-5.921610934406142,"{'0': 82.41631236915424, '1': 59.96081510443331, '2': 36.27725388970631}",178.65438136329388,3613.542453420292,0.8145062499999999
EI,4,15,-6.769178278523162,"{'0': 137.47721394333772, '1': 79.58064909165032, '2': 49.195252804018935}",266.25311583900697,6405.201263485095,0.46329123015975293
