acqf,trial,iteration,best_f,c_x,sum_c_x,cum_costs,eta
EI,5,1,-6.539272832600888,"{'0': 142.6775708346811, '1': 65.28249465191053, '2': 74.89391151792796}",282.8539770045196,2952.9062602668396,0.95
EI,3,1,-8.493956318752081,"{'0': 170.3895577211791, '1': 95.61739167956121, '2': 44.84431752878829}",310.8512669295286,3239.0051264088415,0.95
EI,2,1,-8.933326283381911,"{'0': 142.41784522785795, '1': 63.67820569690087, '2': 55.521301428087654}",261.61735235284647,3041.3910003934366,0.95
EI,1,1,-10.811828527318262,"{'0': 145.8703505334044, '1': 58.949862375433256, '2': 73.74364745195199}",278.56386036078965,3094.2003405418927,0.95
EI,3,2,-7.366960898123504,"{'0': 142.0599547420884, '1': 88.88582709248594, '2': 35.7309429179285}",266.6767247525029,3505.6818511613446,0.9025
EI,4,1,-10.882734699649848,"{'0': 146.5744464334382, '1': 74.32209903892334, '2': 55.57981870485004}",276.47636417721156,3348.456426683537,0.95
EI,5,2,-5.176395605852209,"{'0': 140.14587940306706, '1': 59.549135205654714, '2': 74.95694832018582}",274.6519629289076,3227.5582231957474,0.9025
EI,2,2,-8.418195390432205,"{'0': 144.13329099691953, '1': 92.41621395179948, '2': 64.54967500310829}",301.0991799518273,3342.490180345264,0.9025
EIPU-MEMO,2,1,-8.901385957096293,"{'0': 141.33987098467983, '1': 61.40610757404298, '2': 54.73881715777148}",257.4847957164943,3037.2584437570845,0.95
EIPU-MEMO,3,1,-8.493956318752081,"{'0': 156.33518255074367, '1': 95.54428825423038, '2': 44.079419614350876}",295.9588904193249,3224.112749898638,0.95
EIPU,2,1,-8.901385957096293,"{'0': 141.33987098467983, '1': 61.40610757404298, '2': 54.73881715777148}",257.4847957164943,3037.2584437570845,0.95
EI,4,2,-10.882734699649848,"{'0': 177.54828261800816, '1': 76.61345468692296, '2': 62.13318692820936}",316.2949242331405,3664.7513509166774,0.9025
EI,3,3,-7.366960898123504,"{'0': 139.00555644231827, '1': 84.40106348143605, '2': 35.63220218157613}",259.03882210533044,3764.720673266675,0.8573749999999999
EIPU,3,1,-8.493956318752081,"{'0': 156.33518255074367, '1': 95.54428825423038, '2': 44.079419614350876}",295.9588904193249,3224.112749898638,0.95
EI,5,3,-5.176395605852209,"{'0': 143.82060097205124, '1': 48.905273300601735, '2': 74.89390118398059}",267.61977545663353,3495.1779986523807,0.8573749999999999
EI,1,2,-10.811828527318262,"{'0': 159.45405884163264, '1': 58.625572552132155, '2': 81.27083595087726}",299.3504673446421,3393.550807886535,0.9025
EEIPU,3,1,-8.493956318752081,"{'0': 160.27065191831952, '1': 95.67795620316656, '2': 44.0472428882093}",299.99585100969534,3228.149710489008,0.95
EI,2,3,-8.418195390432205,"{'0': 146.59524152114474, '1': 75.0329864287996, '2': 68.164826484373}",289.79305443431736,3632.283234779581,0.8573749999999999
EEIPU,2,1,-8.7426797254283,"{'0': 141.19771395399084, '1': 61.808364429768986, '2': 54.849048838919586}",257.8551272226794,3037.6287752632697,0.95
EIPU,5,1,-6.024697897756148,"{'0': 140.02409595726607, '1': 52.96351317683239, '2': 74.90270014749316}",267.8903092815916,2937.942592543912,0.95
EIPU-MEMO,5,1,-6.024697897756148,"{'0': 140.02409595726607, '1': 52.96351317683239, '2': 74.90270014749316}",267.8903092815916,2937.942592543912,0.95
EI,4,3,-7.881485088803577,"{'0': 140.00002543104006, '1': 74.74467903638117, '2': 54.5858702018875}",269.3305746693087,3934.081925585986,0.8573749999999999
