acqf,trial,iteration,best_f,c_x,sum_c_x,cum_costs,eta
EI,2,1,-84.76170295068611,"{'0': 144.95206321986532, '1': 83.03402237352185, '2': 76.47316187005845}",304.45924746344565,4176.096477477673,0.95
EI,1,1,-285.6587178963489,"{'0': 711.7811393239938, '1': 71.62721454441723, '2': 89.78844328568569}",873.1967971540968,8190.176408894236,0.95
EI,3,1,-26.15237747012124,"{'0': 167.1903070954524, '1': 87.70248704375445, '2': 88.5028236631353}",343.39561780234214,5822.298990717702,0.95
EI,5,1,-99.94641492722327,"{'0': 220.971914424531, '1': 86.63157874035605, '2': 88.0359390604619}",395.6394322253489,4999.192908875065,0.95
EI,4,1,-1347.8710336283455,"{'0': 296.5485241204973, '1': 90.65714211102377, '2': 86.19760361625606}",473.4032698477771,5077.859750354534,0.95
EI,2,2,-84.76170295068611,"{'0': 148.1994374752177, '1': 79.99019930280402, '2': 74.75081985300045}",302.9404566310222,4479.036934108695,0.9025
EI,1,2,-173.3283189995367,"{'0': 837.4663599761121, '1': 75.76833446806435, '2': 89.00963662322799}",1002.2443310674045,9192.42073996164,0.9025
EI,3,2,-26.15237747012124,"{'0': 169.78516994626344, '1': 92.89256870950905, '2': 89.44007911101848}",352.11781776679095,6174.416808484492,0.9025
EI,5,2,-99.94641492722327,"{'0': 287.33620503122637, '1': 79.14260513999918, '2': 84.11682742341726}",450.59563759464277,5449.788546469707,0.9025
EI,2,3,-84.76170295068611,"{'0': 143.35296705097628, '1': 78.58021935841494, '2': 79.24849847007565}",301.18168487946684,4780.218618988162,0.8573749999999999
EIPU-MEMO,2,1,-100.91301077422895,"{'0': 136.66363698538296, '1': 79.65864628174036, '2': 72.28277460296617}",288.6050578700895,4160.242287884317,0.95
EIPU,2,1,-100.91301077422895,"{'0': 136.66363698538296, '1': 79.65864628174036, '2': 72.28277460296617}",288.6050578700895,4160.242287884317,0.95
EI,1,3,-173.3283189995367,"{'0': 926.5209145979734, '1': 79.76457708955061, '2': 87.4133968866002}",1093.698888574124,10286.119628535766,0.8573749999999999
EI,4,2,-1347.8710336283455,"{'0': 301.7808492325981, '1': 90.85696059569598, '2': 87.83007733265251}",480.4678871609466,5558.327637515481,0.9025
EI,3,3,-26.15237747012124,"{'0': 220.5378446548276, '1': 84.07324922843247, '2': 89.18966313935472}",393.8007570226148,6568.217565507107,0.8573749999999999
EI,5,3,-99.94641492722327,"{'0': 198.43459418010087, '1': 89.75455628091709, '2': 81.73584018903675}",369.9249906500547,5819.713537119762,0.8573749999999999
EIPU,5,1,-99.94641492722327,"{'0': 163.67850890051503, '1': 83.38841000684644, '2': 86.89156723942108}",333.95848614678255,4937.511962796499,0.95
EIPU-MEMO,5,1,-99.94641492722327,"{'0': 163.67850890051503, '1': 83.38841000684644, '2': 86.89156723942108}",333.95848614678255,4937.511962796499,0.95
EI,1,4,-123.52625644558373,"{'0': 524.9617306757208, '1': 71.64076124002014, '2': 87.9159100213}",684.518401937041,10970.638030472806,0.8145062499999999
EI,2,4,-84.76170295068611,"{'0': 177.16121502036992, '1': 77.93137878159524, '2': 82.66501092737286}",337.757604729338,5117.9762237175,0.8145062499999999
EI,4,3,-639.7688294858635,"{'0': 318.43318652864707, '1': 87.96337213030287, '2': 89.1794090770472}",495.57596773599715,6053.903605251478,0.8573749999999999
EI,3,4,-15.18794013219685,"{'0': 343.98781330298726, '1': 87.64799559378673, '2': 88.1233567722467}",519.7591656690207,7087.976731176128,0.8145062499999999
EI,5,4,-99.94641492722327,"{'0': 213.20397840843486, '1': 89.22822669861665, '2': 89.94887564729038}",392.3810807543419,6212.094617874104,0.8145062499999999
EIPU,2,2,-100.91301077422895,"{'0': 138.36218051034967, '1': 77.50307711255888, '2': 71.28647471141187}",287.1517323343204,4447.394020218638,0.9025
EI,2,5,-39.30090056899283,"{'0': 204.59343086271997, '1': 84.85769356887624, '2': 84.1734159421016}",373.6245403736978,5491.600764091198,0.7737809374999999
EIPU,1,1,-208.3902613452507,"{'0': 142.0843986591576, '1': 63.30742342358061, '2': 89.89877979160202}",295.29060187434027,7612.27021361448,0.95
EIPU-MEMO,1,1,-208.3902613452507,"{'0': 142.0843986591576, '1': 63.30742342358061, '2': 89.89877979160202}",295.29060187434027,7612.27021361448,0.95
EIPU,3,1,-8.520024590843883,"{'0': 139.7012046267763, '1': 86.99963861955675, '2': 87.7472192727692}",314.4480625191022,5793.3514354344625,0.95
EI,1,5,-123.52625644558373,"{'0': 724.3679545073808, '1': 79.61280431845583, '2': 81.72215595653073}",885.7029147823673,11856.340945255173,0.7737809374999999
EIPU-MEMO,3,1,-8.520024590843883,"{'0': 139.7012046267763, '1': 86.99963861955675, '2': 87.7472192727692}",314.4480625191022,5793.3514354344625,0.95
EI,3,5,-15.18794013219685,"{'0': 362.95540228763224, '1': 91.37138663979283, '2': 89.90642248723994}",544.233211414665,7632.209942590793,0.7737809374999999
EI,5,5,-99.94641492722327,"{'0': 173.08221008268617, '1': 85.1575186363282, '2': 87.20730582908611}",345.4470345481005,6557.541652422205,0.7737809374999999
EI,4,4,-639.7688294858635,"{'0': 345.82075674477335, '1': 90.44007557812401, '2': 88.96079336629104}",525.2216256891884,6579.125230940666,0.8145062499999999
EEIPU,5,1,-89.55432679941488,"{'0': 161.69372932657066, '1': 84.56486316558099, '2': 87.34106806830285}",333.5996605604545,4937.15313721017,0.95
EI,2,6,-39.30090056899283,"{'0': 177.63476508584498, '1': 86.85813462810728, '2': 82.20558911917735}",346.69848883312966,5838.299252924327,0.7350918906249998
EIPU,4,1,-2774.727395133767,"{'0': 134.1272879090451, '1': 70.08277616532797, '2': 82.31495116259676}",286.5250152369698,4890.9814957437275,0.95
EIPU-MEMO,4,1,-2774.727395133767,"{'0': 134.1272879090451, '1': 70.08277616532797, '2': 82.31495116259676}",286.5250152369698,4890.9814957437275,0.95
EEIPU,2,1,-93.96244465536232,"{'0': 136.48313499614827, '1': 80.94863050061997, '2': 74.59732353260198}",292.0290890293702,4163.6663190435975,0.95
EEIPU,3,1,-33.77311360112274,"{'0': 138.55306102557762, '1': 86.09031273018209, '2': 88.77266270281349}",313.4160364585732,5792.319409373933,0.95
EI,1,6,-96.53685439140887,"{'0': 262.7173369976967, '1': 69.3526455210731, '2': 89.58637252895453}",421.65635504772433,12277.997300302897,0.7350918906249998
EI,3,6,-15.18794013219685,"{'0': 594.8399521161864, '1': 67.38576185017604, '2': 89.8338248021555}",752.059538768518,8384.269481359312,0.7350918906249998
EEIPU,1,1,-239.0461322298945,"{'0': 142.08439629276893, '1': 65.83426121269476, '2': 87.39732151275983}",295.3159790182235,7612.295590758363,0.95
EEIPU,4,1,-2774.727395133767,"{'0': 140.09049686658417, '1': 83.23504228968558, '2': 85.27935672609209}",308.60489588236186,4913.06137638912,0.95
EI,5,6,-99.94641492722327,"{'0': 205.73506318474585, '1': 86.62672988067544, '2': 88.92979207252964}",381.29158513795096,6938.833237560156,0.7350918906249998
EI,4,5,-639.7688294858635,"{'0': 330.70536672425385, '1': 88.59182467132894, '2': 89.21520592501903}",508.51239732060185,7087.637628261268,0.7737809374999999
EIPU,2,3,-100.91301077422895,"{'0': 137.62218696026306, '1': 76.89796775227528, '2': 76.78393038987632}",291.30408510241466,4738.698105321052,0.8573749999999999
EI,2,7,-39.30090056899283,"{'0': 303.7984457853255, '1': 82.57049567869669, '2': 89.03503637360492}",475.40397783762717,6313.703230761955,0.6983372960937497
EI,1,7,-96.53685439140887,"{'0': 484.9229174637305, '1': 75.60743936785676, '2': 89.99978697152545}",650.5301438031127,12928.52744410601,0.6983372960937497
EI,3,7,-15.18794013219685,"{'0': 361.66033513572097, '1': 85.66628096612573, '2': 88.43843959951798}",535.7650557013646,8920.034537060676,0.6983372960937497
EIPU,5,2,-99.94641492722327,"{'0': 184.7376300560474, '1': 79.42740075860473, '2': 86.60216046088145}",350.7671912755336,5288.279154072032,0.9025
EI,4,6,-639.7688294858635,"{'0': 322.24524876537913, '1': 88.60457208814677, '2': 88.13961141677012}",498.989432270296,7586.627060531564,0.7350918906249998
EI,2,8,-39.30090056899283,"{'0': 130.48910841466255, '1': 82.31627673337633, '2': 84.09364989253865}",296.89903504057753,6610.602265802532,0.6634204312890623
EI,5,7,-99.94641492722327,"{'0': 343.3229096138374, '1': 86.72608659154943, '2': 89.82541778505501}",519.8744139904419,7458.707651550598,0.6983372960937497
EIPU,4,2,-2774.727395133767,"{'0': 146.4131232789901, '1': 83.01615656616349, '2': 85.13135494291927}",314.5606347880729,5205.5421305318005,0.9025
EI,3,8,-15.18794013219685,"{'0': 583.1495993236867, '1': 71.29174573143511, '2': 88.11282131261044}",742.5541663677323,9662.588703428408,0.6634204312890623
EI,1,8,-96.53685439140887,"{'0': 580.3312569736269, '1': 78.10516890465439, '2': 89.7657069104017}",748.202132788683,13676.729576894693,0.6634204312890623
EIPU,1,2,-159.00035125585592,"{'0': 142.08435794926424, '1': 64.46228953246185, '2': 82.89037620735284}",289.43702368907896,7901.707237303559,0.9025
EIPU,3,2,-8.520024590843883,"{'0': 134.08498836206348, '1': 78.38927699521304, '2': 89.06401045216842}",301.53827580944494,6094.889711243907,0.9025
EI,2,9,-39.30090056899283,"{'0': 142.9481512927794, '1': 88.9899130982644, '2': 86.70623436497645}",318.64429875602025,6929.246564558553,0.6302494097246091
EI,4,7,-639.7688294858635,"{'0': 308.44038625097, '1': 89.43570160757298, '2': 89.82918310789034}",487.7052709664333,8074.332331497997,0.6983372960937497
EI,1,9,-96.53685439140887,"{'0': 828.5010260716836, '1': 68.92404170092155, '2': 89.5376175289583}",986.9626853015634,14663.692262196257,0.6302494097246091
EI,5,8,-99.94641492722327,"{'0': 230.80595809759257, '1': 91.21856620290497, '2': 87.59995160266905}",409.6244759031666,7868.332127453765,0.6634204312890623
EIPU-MEMO,2,2,-100.91301077422895,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 71.28647496199929}",71.48647496497952,4231.728762849297,0.9025
EI,3,9,-15.18794013219685,"{'0': 476.52674971994435, '1': 87.22777457521096, '2': 86.87420705254758}",650.6287313477029,10313.21743477611,0.6302494097246091
EIPU,2,4,-100.91301077422895,"{'0': 151.28540809457346, '1': 76.1192391927369, '2': 79.28155246046907}",306.6861997477794,5045.384305068831,0.8145062499999999
EIPU-MEMO,5,2,-99.94641492722327,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 67.08554483565455}",67.28554483863478,5004.797507635133,0.9025
EI,2,10,-39.30090056899283,"{'0': 158.27108837404555, '1': 66.67767440471845, '2': 80.46890571167003}",305.41766849043404,7234.664233048987,0.5987369392383786
EIPU,5,3,-99.94641492722327,"{'0': 148.44926626035453, '1': 89.01953702484812, '2': 79.46894475125029}",316.93774803645294,5605.216902108485,0.8573749999999999
EI,4,8,-639.7688294858635,"{'0': 259.2901106811052, '1': 88.85782376545876, '2': 89.00039983034608}",437.1483342769101,8511.480665774907,0.6634204312890623
EI,1,10,-96.53685439140887,"{'0': 562.7909669092699, '1': 71.88691443148664, '2': 89.58839084181567}",724.2662721825722,15387.95853437883,0.5987369392383786
EI,5,9,-63.57436468815389,"{'0': 275.60029176370836, '1': 94.57467576381316, '2': 88.42658430109084}",458.60155182861234,8326.933679282378,0.6302494097246091
EIPU,3,3,-8.520024590843883,"{'0': 143.8362100522123, '1': 90.30238111350917, '2': 89.87369174483027}",324.01228291055173,6418.901994154459,0.8573749999999999
EEIPU,2,2,-93.96244465536232,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 71.28647496032744}",71.48647496330767,4235.152794006905,0.9025
EI,2,11,-39.30090056899283,"{'0': 194.58434499458738, '1': 66.14468825488598, '2': 86.52593207618209}",347.2549653256554,7581.919198374642,0.5688000922764596
EEIPU,5,2,-89.55432679941488,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 70.36622768757465}",70.56622769055488,5007.719364900725,0.9025
EI,3,10,-15.18794013219685,"{'0': 224.1573848461892, '1': 74.73674938980102, '2': 89.96003150988078}",388.854165745871,10702.071600521982,0.5987369392383786
EI,4,9,-639.7688294858635,"{'0': 228.26098282836443, '1': 89.427350442827, '2': 89.08818373487283}",406.77651700606424,8918.257182780972,0.6302494097246091
EEIPU,4,2,-2774.727395133767,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 78.25670735599863}",78.45670735897886,4991.518083748098,0.9025
EI,1,11,-96.53685439140887,"{'0': 973.8163360277094, '1': 76.31775892914841, '2': 89.62508525486054}",1139.7591802117183,16527.717714590548,0.5688000922764596
EI,5,10,-34.534778427875096,"{'0': 384.8846433225702, '1': 89.66717784751806, '2': 89.66676963851175}",564.2185908086,8891.152270090977,0.5987369392383786
EIPU,2,5,-38.127478733883656,"{'0': 162.24227465403555, '1': 87.83076152954196, '2': 84.09890324310881}",334.1719394266863,5379.556244495518,0.7737809374999999
EI,2,12,-39.30090056899283,"{'0': 133.70547247731122, '1': 70.9216580576776, '2': 83.8659395967304}",288.4930701317192,7870.412268506361,0.5403600876626365
EIPU-MEMO,1,2,-208.3902613452507,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 78.37266769855417}",78.5726677015344,7690.842881316014,0.9025
EI,3,11,-15.18794013219685,"{'0': 335.1986109895871, '1': 91.80140973496945, '2': 89.26813387639399}",516.2681546009505,11218.339755122932,0.5688000922764596
EIPU-MEMO,3,2,-8.520024590843883,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 81.34446611441828}",81.54446611739851,5874.895901551861,0.9025
EIPU,5,4,-99.94641492722327,"{'0': 166.5654710968339, '1': 90.2704920100773, '2': 89.99039061708827}",346.8263537239995,5952.043255832484,0.8145062499999999
EIPU,4,3,-2774.727395133767,"{'0': 153.4821012465383, '1': 75.23604544442304, '2': 84.49429041193034}",313.21243710289167,5518.754567634692,0.8573749999999999
EI,4,10,-353.84956451790777,"{'0': 282.15481906209754, '1': 91.65414419819898, '2': 89.88273729861825}",463.6917005589148,9381.948883339886,0.5987369392383786
EI,1,12,-96.53685439140887,"{'0': 898.0532306821025, '1': 76.6480201472633, '2': 89.39786742837632}",1064.099118257742,17591.81683284829,0.5403600876626365
EI,2,13,-39.30090056899283,"{'0': 145.05965884489285, '1': 69.93054763926699, '2': 87.60877634481247}",302.59898282897234,8173.011251335333,0.5133420832795047
EIPU,3,4,-8.520024590843883,"{'0': 162.57552563940837, '1': 84.32794475308637, '2': 89.77206589703485}",336.6755362895296,6755.5775304439885,0.8145062499999999
EI,5,11,-34.534778427875096,"{'0': 314.32250825161447, '1': 93.0008396795694, '2': 73.43997797635352}",480.7633259075374,9371.915595998515,0.5688000922764596
