acqf,trial,iteration,best_f,c_x,sum_c_x,cum_costs,eta
EI,3,1,-3.6968251024063514,"{'0': 155.04020456600932, '1': 68.77620890939626, '2': 79.5614771612269}",303.37789063663246,3370.3851319727496,0.95
EI,1,1,-5.574546903012865,"{'0': 127.11568682222975, '1': 65.75484195058849, '2': 51.145136975531855}",244.0156657483501,3513.3713709058793,0.95
EI,4,1,-6.984506300851682,"{'0': 121.0175181848968, '1': 73.85773066756033, '2': 87.89208634033997}",282.7673351927971,3203.2210230274277,0.95
EI,2,1,-2.918586197645333,"{'0': 121.17728475998632, '1': 42.69488842211129, '2': 63.136661383097646}",227.00883456519526,3022.2758021449677,0.95
EI,3,2,-3.6968251024063514,"{'0': 135.3365639981443, '1': 81.96064111502436, '2': 83.47470130975375}",300.7719064229224,3671.157038395672,0.9025
EIPU-MEMO,3,1,-5.0414864784340265,"{'0': 136.9107881492559, '1': 60.567271283952415, '2': 51.42159897674364}",248.89965840995194,3315.906899746069,0.95
EI,1,2,-4.243286149526022,"{'0': 126.99580916702382, '1': 63.7529381950477, '2': 71.43344862806686}",262.1821959901384,3775.553566896018,0.9025
EIPU,3,1,-5.0414864784340265,"{'0': 136.9107881492559, '1': 60.567271283952415, '2': 51.42159897674364}",248.89965840995194,3315.906899746069,0.95
EI,5,1,-3.3461091780951118,"{'0': 137.32973965911478, '1': 85.67013674936288, '2': 85.80919880072679}",308.8090752092045,3176.1697160776257,0.95
EI,4,2,-3.4241977076495305,"{'0': 120.66821476255593, '1': 69.07764089047386, '2': 83.98124204611969}",273.72709769914945,3476.948120726577,0.9025
EI,3,3,-3.6968251024063514,"{'0': 138.43082906941186, '1': 72.78721738750947, '2': 72.58044365361647}",283.79849011053784,3954.9555285062097,0.8573749999999999
EI,2,2,-2.918586197645333,"{'0': 118.01379114212769, '1': 53.33818237392997, '2': 63.1366613837378}",234.48863489979544,3256.7644370447633,0.9025
EEIPU,3,1,-2.4210472848218414,"{'0': 142.05110884136508, '1': 65.99012955831205, '2': 62.35511618602139}",270.39635458569853,3337.403595921816,0.95
EI,1,3,-4.243286149526022,"{'0': 127.10038324662605, '1': 65.51968431776649, '2': 89.92897553190771}",282.54904309630024,4058.1026099923183,0.8573749999999999
EI,5,2,-3.3461091780951118,"{'0': 129.5426291407385, '1': 92.66533472790377, '2': 86.03295794799993}",308.2409218166422,3484.410637894268,0.9025
EI,3,4,-3.6968251024063514,"{'0': 177.9035075209669, '1': 70.93182377627912, '2': 84.17712514818069}",333.0124564454267,4287.967984951636,0.8145062499999999
EI,4,3,-3.4241977076495305,"{'0': 120.43614608705994, '1': 69.34466902086963, '2': 83.98124204611969}",273.7620571540493,3750.7101778806264,0.8573749999999999
EEIPU,1,1,-5.574546903012865,"{'0': 126.96223879660386, '1': 63.22588569655354, '2': 50.095306862274455}",240.28343135543184,3509.6391365129607,0.95
EIPU-MEMO,1,1,-5.574546903012865,"{'0': 127.11498459384416, '1': 65.00091995449272, '2': 50.05701872662523}",242.1729232749621,3511.528628432491,0.95
EIPU,1,1,-5.574546903012865,"{'0': 127.11498459384416, '1': 65.00091995449272, '2': 50.05701872662523}",242.1729232749621,3511.528628432491,0.95
EI,1,4,-4.243286149526022,"{'0': 127.08523248643428, '1': 62.32946895402631, '2': 50.103751999676994}",239.5184534401376,4297.621063432456,0.8145062499999999
EI,3,5,-1.9232051004279072,"{'0': 121.93674437709717, '1': 69.01593726111935, '2': 60.9924012910251}",251.9450829292416,4539.913067880878,0.7737809374999999
EI,2,3,-2.0908066930439198,"{'0': 117.87683800021982, '1': 49.86342891932553, '2': 63.136661383714184}",230.87692830325955,3487.641365348023,0.8573749999999999
EIPU,3,2,-3.391693373797262,"{'0': 146.14885062362225, '1': 71.74026393671164, '2': 70.00959413108527}",287.8987086914192,3603.8056084374884,0.9025
EI,5,3,-2.708533908215575,"{'0': 133.18110379884655, '1': 86.47988118608842, '2': 83.67385610847765}",303.3348410934126,3787.7454789876806,0.8573749999999999
EI,4,4,-3.4241977076495305,"{'0': 120.43614608705994, '1': 70.0258588294619, '2': 83.98124204611969}",274.4432469626415,4025.153424843268,0.8145062499999999
EEIPU,5,1,-3.3330990702780143,"{'0': 136.6045996396699, '1': 85.35539595517925, '2': 85.59894871706712}",307.55894431191626,3174.9195851803374,0.95
EIPU,5,1,-2.572499859089758,"{'0': 136.60029404677607, '1': 85.11523699367015, '2': 84.08577647273616}",305.8013075131824,3173.161948381604,0.95
EIPU-MEMO,5,1,-2.572499859089758,"{'0': 136.60029404677607, '1': 85.11523699367015, '2': 84.08577647273616}",305.8013075131824,3173.161948381604,0.95
EEIPU,4,1,-3.6528746369506235,"{'0': 120.71469575482143, '1': 72.68041313371029, '2': 83.98124204611969}",277.37635093465144,3197.830038769282,0.95
EI,3,6,-1.9232051004279072,"{'0': 119.70876720943338, '1': 71.32157273118298, '2': 77.6975703934003}",268.72791033401666,4808.640978214895,0.7350918906249998
EI,4,5,-3.343575949366059,"{'0': 124.02720339382921, '1': 70.0528424228558, '2': 83.98124204611969}",278.0612878628047,4303.2147127060725,0.7737809374999999
EI,2,4,-2.0908066930439198,"{'0': 121.23931476707929, '1': 52.10153480179179, '2': 63.136661383737504}",236.47751095260858,3724.1188763006317,0.8145062499999999
EEIPU,2,1,-2.918586197645333,"{'0': 115.67794570309951, '1': 46.77802537499264, '2': 63.136661382909615}",225.59263246100176,3020.8596000407742,0.95
EI,1,5,-0.596113882773557,"{'0': 126.90453266703454, '1': 65.153657717688, '2': 76.55759432034704}",268.6157847050696,4566.236848137526,0.7737809374999999
EI,5,4,-2.708533908215575,"{'0': 126.21897242045485, '1': 85.79495227643835, '2': 89.53641021394674}",301.5503349108399,4089.2958138985205,0.8145062499999999
EIPU-MEMO,2,1,-2.918586197645333,"{'0': 117.01193732086941, '1': 41.35413549196541, '2': 63.136661383561716}",221.50273419639655,3016.769701776169,0.95
EIPU,2,1,-2.918586197645333,"{'0': 117.01193732086941, '1': 41.35413549196541, '2': 63.136661383561716}",221.50273419639655,3016.769701776169,0.95
EI,4,6,-3.343575949366059,"{'0': 126.58708084905219, '1': 83.09958016475618, '2': 54.150829667399236}",263.8374906812076,4567.05220338728,0.7350918906249998
EIPU-MEMO,4,1,-7.843436180603995,"{'0': 126.91977754410995, '1': 67.05006234202962, '2': 50.005252439761634}",243.9750923259012,3164.428780160532,0.95
EIPU,4,1,-7.843436180603995,"{'0': 126.91977754410995, '1': 67.05006234202962, '2': 50.005252439761634}",243.9750923259012,3164.428780160532,0.95
EIPU,1,2,-5.574546903012865,"{'0': 126.9795848995972, '1': 63.840246256714465, '2': 50.44633191346142}",241.26616306977309,3752.794791502264,0.9025
EI,3,7,-1.9232051004279072,"{'0': 126.79777477470437, '1': 73.256834236424, '2': 59.32438915568359}",259.378998166812,5068.019976381707,0.6983372960937497
EI,2,5,-2.0908066930439198,"{'0': 116.14586757456819, '1': 58.68527803815267, '2': 63.13666138277661}",237.96780699549748,3962.086683296129,0.7737809374999999
EI,1,6,-0.596113882773557,"{'0': 127.00360971335678, '1': 63.37032956401832, '2': 82.64969421547987}",273.02363349285497,4839.260481630381,0.7350918906249998
EIPU,3,3,-1.4987214272693394,"{'0': 140.67281741594797, '1': 66.37865135189018, '2': 77.67134481925075}",284.7228135870889,3888.5284220245776,0.8573749999999999
EIPU-MEMO,3,2,-5.0414864784340265,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 47.99114286134204}",48.19114286432227,3364.0980426103915,0.9025
EI,4,7,-3.343575949366059,"{'0': 130.56907639632988, '1': 89.19317822718872, '2': 52.917762172774516}",272.6800167962931,4839.732220183573,0.6983372960937497
