acqf,trial,iteration,best_f,c_x,sum_c_x,cum_costs,eta
EI,1,1,-2.032430298844303,"{'0': 155.26601919006436, '1': 78.19961128933573, '2': 86.69656179704207}",320.16219227644217,3269.6698909204883,0.95
EI,3,1,-2.583392833608593,"{'0': 152.59567263206952, '1': 94.45790503982543, '2': 50.620550608958155}",297.6741282808531,3346.1316860680563,0.95
EI,5,1,-2.6198493192397807,"{'0': 166.57741619764252, '1': 85.76542956193846, '2': 85.83884491430693}",338.18169067388794,3298.562989467063,0.95
EI,4,1,-5.250181599959676,"{'0': 158.13547184877822, '1': 82.60172041709939, '2': 51.20222272479901}",291.9394149906766,3182.578026072638,0.95
EI,2,1,-2.2957602020865635,"{'0': 179.39775300589682, '1': 41.99501586379934, '2': 63.13666138298002}",284.5294302526762,3302.870298068981,0.95
EI,1,2,-2.032430298844303,"{'0': 155.26601917264298, '1': 68.05834681001326, '2': 57.270849598439625}",280.5952155810959,3550.2651065015843,0.9025
EI,3,2,-2.583392833608593,"{'0': 177.9868602389663, '1': 69.50528518563732, '2': 79.81223872512672}",327.30438414973037,3673.4360702177864,0.9025
EI,4,2,-4.401290951496284,"{'0': 146.46172803611037, '1': 86.11479761273623, '2': 51.959047699954844}",284.53557334880145,3467.113599421439,0.9025
EI,3,3,-2.583392833608593,"{'0': 179.9859199342615, '1': 62.53235592291367, '2': 83.96385445010944}",326.4821303072846,3999.918200525071,0.8573749999999999
EI,2,2,-2.2957602020865635,"{'0': 179.96072690624877, '1': 53.19369542001692, '2': 63.13666138373781}",296.2910837100035,3599.1613817789844,0.9025
EI,1,3,-0.5103332708254367,"{'0': 155.2660191925347, '1': 74.31472564655502, '2': 72.94949458994992}",302.5302394290396,3852.795345930624,0.8573749999999999
EIPU-MEMO,3,1,-2.583392833608593,"{'0': 148.06787286879532, '1': 94.35113501546473, '2': 50.30566209770308}",292.72466998196313,3341.1822277691663,0.95
EIPU,3,1,-2.583392833608593,"{'0': 148.06787286879532, '1': 94.35113501546473, '2': 50.30566209770308}",292.72466998196313,3341.1822277691663,0.95
EI,5,2,-2.6198493192397807,"{'0': 170.63000403666194, '1': 93.05449070497991, '2': 86.09678747019592}",349.7812822118378,3648.3442716789004,0.9025
EI,3,4,-2.583392833608593,"{'0': 158.82031487693428, '1': 94.71175430486639, '2': 87.02143960133111}",340.55350878313175,4340.471709308203,0.8145062499999999
EI,4,3,-4.401290951496284,"{'0': 147.5530429077731, '1': 78.2801416015954, '2': 50.65910297553883}",276.4922874849073,3743.6058869063463,0.8573749999999999
EEIPU,1,1,-2.032430298844303,"{'0': 155.26601918878518, '1': 77.65568455966965, '2': 58.595386850553524}",291.5170905990084,3241.024789243055,0.95
EIPU-MEMO,5,1,-2.3667177503411727,"{'0': 166.01393491026383, '1': 85.25194591243357, '2': 84.14007238824065}",335.40595321093804,3295.787252004113,0.95
EEIPU,3,1,-2.583392833608593,"{'0': 150.45157289071872, '1': 92.71971082970776, '2': 53.55985565343546}",296.73113937386194,3345.188697161065,0.95
EIPU-MEMO,1,1,-2.032430298844303,"{'0': 155.26601918909074, '1': 75.6621668839075, '2': 52.47707726627415}",283.4052633392724,3232.912961983319,0.95
EI,1,4,-0.5103332708254367,"{'0': 155.26601919581717, '1': 70.62272435241097, '2': 62.350891970881904}",288.23963551911004,4141.034981449734,0.8145062499999999
EIPU,1,1,-2.032430298844303,"{'0': 155.26601918909074, '1': 75.6621668839075, '2': 52.47707726627415}",283.4052633392724,3232.912961983319,0.95
EIPU,5,1,-2.3667177503411727,"{'0': 166.01393491026383, '1': 85.25194591243357, '2': 84.14007238824065}",335.40595321093804,3295.787252004113,0.95
EI,3,5,-2.583392833608593,"{'0': 171.2736636286316, '1': 84.8458049605427, '2': 86.28586900853223}",342.40533759770653,4682.877046905909,0.7737809374999999
EI,2,3,-2.2957602020865635,"{'0': 179.98202935990702, '1': 50.305595790208415, '2': 63.13666138373601}",293.42428653385144,3892.585668312836,0.8573749999999999
EEIPU,5,1,-2.6198493192397807,"{'0': 165.96793267061327, '1': 85.48763732501249, '2': 85.62779251528654}",337.0833625109123,3297.464661304087,0.95
EI,5,3,-2.313319065028812,"{'0': 176.79659920783587, '1': 87.05583580707832, '2': 83.10634886940407}",346.9587838843183,3995.3030555632185,0.8573749999999999
EI,4,4,-4.401290951496284,"{'0': 140.51772406207454, '1': 84.37171534048963, '2': 50.035442994441766}",274.92488239700594,4018.5307693033524,0.8145062499999999
EIPU,3,2,-1.7582054042305881,"{'0': 158.82031567735555, '1': 93.31733482437254, '2': 80.1360198673973}",332.2736703691254,3673.4558981382916,0.9025
EI,2,4,-1.6250544809847502,"{'0': 179.8754184551401, '1': 52.16858503204442, '2': 63.13666138301624}",295.18066487020076,4187.766333183036,0.8145062499999999
EI,1,5,-0.5103332708254367,"{'0': 155.26601904445093, '1': 77.30161627104386, '2': 58.74810859584042}",291.3157439113352,4432.35072536107,0.7737809374999999
EEIPU,2,1,-2.2957602020865635,"{'0': 171.60396348118812, '1': 47.681916341934695, '2': 63.13666138334173}",282.42254120646453,3300.7634090227693,0.95
EIPU,2,1,-2.2957602020865635,"{'0': 175.25193868720606, '1': 41.46857175587728, '2': 63.13666138354193}",279.8571718266253,3298.19803964293,0.95
EIPU-MEMO,2,1,-2.2957602020865635,"{'0': 175.25193868720606, '1': 41.46857175587728, '2': 63.13666138354193}",279.8571718266253,3298.19803964293,0.95
EEIPU,4,1,-5.250181599959676,"{'0': 141.44337960977333, '1': 79.90390216425388, '2': 50.40826803538344}",271.75554980941064,3162.394160891372,0.95
EI,3,6,-2.583392833608593,"{'0': 158.82027667533129, '1': 95.42361571458481, '2': 63.464094971577175}",317.7079873614933,5000.585034267402,0.7350918906249998
EI,4,5,-2.9049580340381755,"{'0': 148.80590981100124, '1': 81.62926516272532, '2': 55.14821783274688}",285.58339280647346,4304.114162109826,0.7737809374999999
EI,1,6,-0.5103332708254367,"{'0': 143.2689881156968, '1': 66.3360013401273, '2': 51.13167873335881}",260.7366681891829,4693.087393550252,0.7350918906249998
EI,5,4,-2.313319065028812,"{'0': 174.72609167630185, '1': 86.48319968597758, '2': 89.15813442795672}",350.36742579023615,4345.670481353454,0.8145062499999999
EIPU,1,2,-2.032430298844303,"{'0': 155.26601918134406, '1': 74.1117866017415, '2': 84.21793868748465}",313.5957444705702,3546.508706453889,0.9025
EI,2,5,-1.6250544809847502,"{'0': 179.95229757748228, '1': 59.858590806668175, '2': 63.13666137134435}",302.94754975549483,4490.713882938531,0.7737809374999999
EIPU-MEMO,3,2,-2.583392833608593,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 89.87103817326862}",90.07103817624885,3431.253265945415,0.9025
EIPU,3,3,-0.061698871149519,"{'0': 175.21199440283635, '1': 68.34776044394579, '2': 58.990523162636016}",302.55027800941815,3976.0061761477095,0.8573749999999999
EI,3,7,-1.1618113842595594,"{'0': 158.8203382964088, '1': 92.39358556815233, '2': 63.293722374917614}",314.50764623947873,5315.092680506881,0.6983372960937497
EI,4,6,-0.7945383072754595,"{'0': 146.1562764593717, '1': 80.40110083986232, '2': 64.52953459564338}",291.0869118948774,4595.2010740047035,0.7350918906249998
EI,1,7,-0.5103332708254367,"{'0': 155.26601914550977, '1': 70.45488667613137, '2': 87.60644095127797}",313.3273467729191,5006.414740323171,0.6983372960937497
EI,2,6,-1.6250544809847502,"{'0': 179.856050247647, '1': 52.878655120265016, '2': 63.13666138373754}",295.8713667516496,4786.585249690181,0.7350918906249998
EIPU-MEMO,4,1,-5.250181599959676,"{'0': 143.0862922974757, '1': 67.91436072060006, '2': 50.15607103396402}",261.15672405203975,3151.795335134001,0.95
EI,5,5,-1.2090813091837262,"{'0': 170.87328383368447, '1': 94.40220426028216, '2': 77.20436753454811}",342.4798556285147,4688.150336981969,0.7737809374999999
EIPU,4,1,-5.250181599959676,"{'0': 143.0862922974757, '1': 67.91436072060006, '2': 50.15607103396402}",261.15672405203975,3151.795335134001,0.95
EEIPU,3,2,-2.583392833608593,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 89.87103817326862}",90.07103817624885,3435.259735337314,0.9025
EI,4,7,-0.7945383072754595,"{'0': 145.55502071804926, '1': 75.50738359136088, '2': 58.60533438830824}",279.6677386977184,4874.868812702422,0.6983372960937497
EI,3,8,-1.106321186110181,"{'0': 158.82029465325445, '1': 88.76034422594998, '2': 74.44378481955002}",322.02442369875445,5637.117104205636,0.6634204312890623
EEIPU,1,2,-2.032430298844303,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 54.30082589319242}",54.50082589617265,3295.5256151392273,0.9025
EIPU-MEMO,1,2,-2.032430298844303,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 54.83498399870783}",55.03498400168806,3287.9479459850068,0.9025
EI,2,7,-1.6250544809847502,"{'0': 176.91399127812298, '1': 53.10775211277773, '2': 77.48793976506091}",307.5096831559616,5094.094932846142,0.6983372960937497
EI,1,8,-0.5103332708254367,"{'0': 155.26601920248163, '1': 75.28144911001262, '2': 52.82221945505092}",283.36968776754514,5289.784428090716,0.6634204312890623
EIPU,2,2,-2.0238098167411653,"{'0': 179.9674308577699, '1': 44.78915932600318, '2': 63.13666138373273}",287.8932515675058,3586.091291210436,0.9025
EI,5,6,-1.2090813091837262,"{'0': 172.78886222949038, '1': 94.4870535704222, '2': 89.95429852689725}",357.2302143268098,5045.380551308779,0.7350918906249998
EI,3,9,-1.106321186110181,"{'0': 158.82030512211148, '1': 88.2459809948239, '2': 64.93006036465054}",311.99634648158593,5949.113450687221,0.6302494097246091
