Mon Aug  7 04:46:56 2023 Fold 0, Epoch 1, lr: 0.0000300, train loss: 2.23131, valid loss: 2.10468, acc: 25.0000, auc: 0.586111, auc_20: 0.673077.
Mon Aug  7 04:47:00 2023 Fold 0, Epoch 2, lr: 0.0003000, train loss: 2.03442, valid loss: 1.98922, acc: 51.0417, auc: 0.688889, auc_20: 0.807692.
Mon Aug  7 04:47:04 2023 Fold 0, Epoch 3, lr: 0.0003000, train loss: 1.73666, valid loss: 1.83183, acc: 61.9792, auc: 0.751852, auc_20: 0.875000.
Mon Aug  7 04:47:08 2023 Fold 0, Epoch 4, lr: 0.0001500, train loss: 1.50482, valid loss: 1.71517, acc: 63.5417, auc: 0.779167, auc_20: 0.884615.
Mon Aug  7 04:47:13 2023 Fold 0, Epoch 5, lr: 0.0000439, train loss: 1.41572, valid loss: 1.65736, acc: 64.5833, auc: 0.794907, auc_20: 0.894231.
Mon Aug  7 04:49:09 2023 Fold 0, Epoch 1, lr: 0.0000300, train loss: 2.11504, valid loss: 2.12083, acc: 27.2135, auc: 0.594798, auc_20: 0.459377.
Mon Aug  7 04:49:19 2023 Fold 0, Epoch 2, lr: 0.0003000, train loss: 1.54635, valid loss: 1.09175, acc: 69.9219, auc: 0.829096, auc_20: 0.782460.
Mon Aug  7 04:49:29 2023 Fold 0, Epoch 3, lr: 0.0003000, train loss: 1.00723, valid loss: 0.83231, acc: 75.2604, auc: 0.856815, auc_20: 0.858770.
Mon Aug  7 04:49:38 2023 Fold 0, Epoch 4, lr: 0.0001500, train loss: 0.87762, valid loss: 0.77788, acc: 75.6510, auc: 0.862935, auc_20: 0.883827.
Mon Aug  7 04:49:48 2023 Fold 0, Epoch 5, lr: 0.0000439, train loss: 0.84007, valid loss: 0.76021, acc: 76.6927, auc: 0.867321, auc_20: 0.889522.
Mon Aug  7 04:49:58 2023 Fold 1, Epoch 1, lr: 0.0000300, train loss: 2.15324, valid loss: 2.13711, acc: 23.5677, auc: 0.659199, auc_20: 0.673810.
Mon Aug  7 04:50:08 2023 Fold 1, Epoch 2, lr: 0.0003000, train loss: 1.55293, valid loss: 1.21294, acc: 69.0104, auc: 0.836247, auc_20: 0.813571.
Mon Aug  7 04:50:18 2023 Fold 1, Epoch 3, lr: 0.0003000, train loss: 0.98955, valid loss: 0.89087, acc: 70.8333, auc: 0.850557, auc_20: 0.878810.
Mon Aug  7 04:50:28 2023 Fold 1, Epoch 4, lr: 0.0001500, train loss: 0.86424, valid loss: 0.82888, acc: 72.2656, auc: 0.863766, auc_20: 0.888333.
Mon Aug  7 04:50:38 2023 Fold 1, Epoch 5, lr: 0.0000439, train loss: 0.80519, valid loss: 0.82122, acc: 71.7448, auc: 0.866939, auc_20: 0.887619.
Mon Aug  7 04:50:48 2023 Fold 2, Epoch 1, lr: 0.0000300, train loss: 2.17893, valid loss: 2.12314, acc: 25.1302, auc: 0.386361, auc_20: 0.286651.
Mon Aug  7 04:50:58 2023 Fold 2, Epoch 2, lr: 0.0003000, train loss: 1.52091, valid loss: 1.14718, acc: 67.8385, auc: 0.801389, auc_20: 0.602810.
Mon Aug  7 04:51:08 2023 Fold 2, Epoch 3, lr: 0.0003000, train loss: 0.96312, valid loss: 0.95809, acc: 70.8333, auc: 0.822156, auc_20: 0.777049.
Mon Aug  7 04:51:17 2023 Fold 2, Epoch 4, lr: 0.0001500, train loss: 0.82220, valid loss: 0.86467, acc: 73.9583, auc: 0.844352, auc_20: 0.785012.
Mon Aug  7 04:51:27 2023 Fold 2, Epoch 5, lr: 0.0000439, train loss: 0.78379, valid loss: 0.84370, acc: 75.0000, auc: 0.847688, auc_20: 0.782201.
Mon Aug  7 04:51:37 2023 Fold 3, Epoch 1, lr: 0.0000300, train loss: 2.10169, valid loss: 2.07470, acc: 35.0260, auc: 0.482969, auc_20: 0.406467.
Mon Aug  7 04:51:46 2023 Fold 3, Epoch 2, lr: 0.0003000, train loss: 1.53657, valid loss: 1.11551, acc: 70.5729, auc: 0.868922, auc_20: 0.902136.
Mon Aug  7 04:51:56 2023 Fold 3, Epoch 3, lr: 0.0003000, train loss: 1.03805, valid loss: 0.82583, acc: 72.6562, auc: 0.867786, auc_20: 0.952079.
Mon Aug  7 04:52:05 2023 Fold 3, Epoch 4, lr: 0.0001500, train loss: 0.89799, valid loss: 0.77390, acc: 75.0000, auc: 0.876365, auc_20: 0.944573.
Mon Aug  7 04:52:15 2023 Fold 3, Epoch 5, lr: 0.0000439, train loss: 0.86659, valid loss: 0.76454, acc: 75.5208, auc: 0.878104, auc_20: 0.943418.
Mon Aug  7 04:52:25 2023 Fold 4, Epoch 1, lr: 0.0000300, train loss: 2.14421, valid loss: 2.17869, acc: 12.5000, auc: 0.608633, auc_20: 0.560980.
Mon Aug  7 04:52:35 2023 Fold 4, Epoch 2, lr: 0.0003000, train loss: 1.53521, valid loss: 1.20622, acc: 67.9688, auc: 0.825817, auc_20: 0.798955.
Mon Aug  7 04:52:44 2023 Fold 4, Epoch 3, lr: 0.0003000, train loss: 1.05878, valid loss: 0.93821, acc: 70.4427, auc: 0.807530, auc_20: 0.755720.
Mon Aug  7 04:52:54 2023 Fold 4, Epoch 4, lr: 0.0001500, train loss: 0.91347, valid loss: 0.90054, acc: 70.3125, auc: 0.817876, auc_20: 0.773915.
Mon Aug  7 04:53:04 2023 Fold 4, Epoch 5, lr: 0.0000439, train loss: 0.89811, valid loss: 0.87592, acc: 70.9635, auc: 0.825299, auc_20: 0.795712.
