2023-05-05 10:49:21,014 INFO    MainThread:2016404 [wandb_setup.py:_flush():76] Current SDK version is 0.15.1
2023-05-05 10:49:21,015 INFO    MainThread:2016404 [wandb_setup.py:_flush():76] Configure stats pid to 2016404
2023-05-05 10:49:21,015 INFO    MainThread:2016404 [wandb_setup.py:_flush():76] Loading settings from /home/abdelmajid/.config/wandb/settings
2023-05-05 10:49:21,015 INFO    MainThread:2016404 [wandb_setup.py:_flush():76] Loading settings from /home/abdelmajid/workdir/cost-aware-bo/wandb/settings
2023-05-05 10:49:21,015 INFO    MainThread:2016404 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-05 10:49:21,015 INFO    MainThread:2016404 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-05 10:49:21,015 INFO    MainThread:2016404 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/abdelmajid/workdir/cost-aware-bo/main.py'}
2023-05-05 10:49:21,015 INFO    MainThread:2016404 [wandb_init.py:_log_setup():507] Logging user logs to /home/abdelmajid/workdir/cost-aware-bo/wandb/run-20230505_104920-8ssby54m/logs/debug.log
2023-05-05 10:49:21,016 INFO    MainThread:2016404 [wandb_init.py:_log_setup():508] Logging internal logs to /home/abdelmajid/workdir/cost-aware-bo/wandb/run-20230505_104920-8ssby54m/logs/debug-internal.log
2023-05-05 10:49:21,016 INFO    MainThread:2016404 [wandb_init.py:init():547] calling init triggers
2023-05-05 10:49:21,016 INFO    MainThread:2016404 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'epsilon': 0.1, 'batch_size': 1, 'normalization_bounds': [0, 1], 'cost_samples': 1000, 'h_ind': [[0, 1], [2, 3, 4], [5, 6]], 'obj_funcs': ['branin2', 'hartmann3', 'beale2'], 'cost_types': [2, 1, 3], 'decay_factor': 1, 'warmup_eta': 0.01, 'n_trials': 10, 'n_iters': 40, 'n_init_data': 10, 'prefix_thresh': 10000000, 'warmup_iters': 10, 'use_pref_pool': 1, 'verbose': 1, 'rand_seed': 42, 'warm_up': 0.01, 'acqf': 'EIPU'}
2023-05-05 10:49:21,016 INFO    MainThread:2016404 [wandb_init.py:init():596] starting backend
2023-05-05 10:49:21,016 INFO    MainThread:2016404 [wandb_init.py:init():600] setting up manager
2023-05-05 10:49:21,044 INFO    MainThread:2016404 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-05-05 10:49:21,079 INFO    MainThread:2016404 [wandb_init.py:init():606] backend started and connected
2023-05-05 10:49:21,104 INFO    MainThread:2016404 [wandb_init.py:init():700] updated telemetry
2023-05-05 10:49:21,193 INFO    MainThread:2016404 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-05-05 10:49:21,918 INFO    MainThread:2016404 [wandb_run.py:_on_init():2177] communicating current version
2023-05-05 10:49:22,105 INFO    MainThread:2016404 [wandb_run.py:_on_init():2186] got version response 
2023-05-05 10:49:22,105 INFO    MainThread:2016404 [wandb_init.py:init():787] starting run threads in backend
2023-05-05 10:49:28,257 INFO    MainThread:2016404 [wandb_run.py:_console_start():2158] atexit reg
2023-05-05 10:49:28,257 INFO    MainThread:2016404 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-05-05 10:49:28,258 INFO    MainThread:2016404 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-05-05 10:49:28,258 INFO    MainThread:2016404 [wandb_run.py:_redirect():2103] Redirects installed.
2023-05-05 10:49:28,259 INFO    MainThread:2016404 [wandb_init.py:init():829] run started, returning control to user process
2023-05-05 10:50:26,822 WARNING MsgRouterThr:2016404 [router.py:message_loop():77] message_loop has been closed
